time,ca,eadx,easx,iadx,iasx,inlet,radx,rasx,sma
0.38,1.944865530347315,0.6897738670200493,0.5156869813730776,2.78120023385725,0.31095420204446833,-9.447072393637018,0.5402685240224218,1.7958476456892924,0.8684754346994411
0.385,1.8009499881141031,0.6101765263614969,0.45174786587234544,2.633354980196682,0.27497840916120975,-8.744708971588913,0.4937013660837324,1.700600494988749,0.7791993645287701
0.39,1.7193959671292738,0.5518919766065753,0.40900471333411226,2.517827897672477,0.2521146251246973,-8.294941764059505,0.46880949394449856,1.6490128827374413,0.7268842265005168
0.395,1.6918066057964856,0.5125722860619868,0.38479676898724857,2.4319856073758332,0.24068386215566523,-8.066134246228383,0.4625983354668187,1.6351680527239192,0.7065227434820349
0.4,1.7102957275858213,0.4899712283397436,0.3766380695536983,2.373097282880064,0.23909654502808111,-8.028248314938844,0.4722464202503312,1.6534617243956513,0.7134413300993317
0.405,1.7701203882880843,0.48244275150173876,0.38283309938812615,2.33893919221131,0.24636563503756806,-8.16235641248705,0.4961842010382569,1.7007083431927688,0.7447628168417743
0.41000000000000003,1.866876188522303,0.4884742688337091,0.401848560931343,2.327389001675681,0.2615656902007793,-8.450811985434195,0.532918140695957,1.7738918597445934,0.7978482916205363
0.41500000000000004,1.9982969669822834,0.5070600033064794,0.43276575950986435,2.336897372772237,0.2841804786686347,-8.883785906880439,0.5817348281664496,1.87155533738118,0.8712951774744162
0.42,2.163841887617649,0.5376109197816197,0.4751521212684121,2.366419846994397,0.3140326408513029,-9.45784987151773,0.6425681864547035,1.9935242073538384,0.9647000795860615
0.425,2.362565268662804,0.579592274205043,0.5285825403624055,2.4150656413578315,0.3508728706428734,-10.16844978733006,0.715109540838481,2.1391921741121362,1.0774694987900126
0.43,2.5951702654904087,0.6328725330629275,0.5930903001099515,2.4824548497712082,0.3947831955371047,-11.017200574513032,0.799680636644073,2.309194150150262,1.209954667502764
0.435,2.8612131902775113,0.6971773939127329,0.6684770463215515,2.56809978817979,0.4456433855814484,-12.001868152019581,0.8961335317254352,2.503233581096334,1.361890260411303
0.44,3.1593649035934157,0.7721291711594517,0.754374818296941,2.6714134693733533,0.5031792985631436,-13.117231734481829,1.0039543100986703,2.720279886523246,1.5325359017060873
0.445,3.4882742732925163,0.8573310773615297,0.8503812928744715,2.7917230118492222,0.5671343273316516,-14.357997674812573,1.122680560461514,2.9593297172321966,1.7211434437580482
